Grid ID,Topological Type,tb,r,X,O,Orientation Reversal,Legendrian Mirror,Orientation Reversal + Legendrian Mirror
G285,10n26,-13,-2,"(0, 9, 7, 5, 6, 3, 1, 4, 2, 8)","(4, 2, 1, 8, 0, 9, 5, 7, 6, 3)",--,--,G291
G286,10n26,-13,-2,"(0, 8, 5, 2, 7, 6, 4, 3, 1, 9)","(6, 2, 1, 9, 0, 8, 7, 5, 4, 3)",--,--,G294
G287,10n26,-13,-2,"(0, 8, 9, 7, 4, 3, 6, 5, 1, 2)","(5, 1, 3, 2, 0, 8, 9, 7, 4, 6)",--,--,G282
G288,10n26,-13,-2,"(0, 3, 2, 9, 1, 8, 6, 7, 5, 4)","(5, 8, 7, 3, 4, 2, 0, 1, 9, 6)",--,--,G299
G289,10n26,-13,-2,"(0, 8, 7, 6, 4, 5, 2, 3, 1, 9)","(5, 2, 9, 8, 7, 1, 0, 6, 4, 3)",--,--,G292
G290,10n26,-13,-2,"(0, 2, 9, 1, 8, 6, 7, 4, 5, 3)","(4, 7, 5, 3, 2, 0, 9, 8, 1, 6)",--,--,G281
G291,10n26,-13,-2,"(0, 7, 9, 8, 4, 6, 3, 5, 1, 2)","(5, 1, 3, 2, 0, 9, 7, 8, 4, 6)",--,--,G285
G292,10n26,-13,-2,"(0, 8, 9, 7, 6, 5, 3, 4, 2, 1)","(3, 2, 4, 0, 8, 7, 6, 1, 9, 5)",--,--,G289
G293,10n26,-13,-2,"(0, 2, 9, 6, 8, 7, 1, 5, 4, 3)","(4, 7, 3, 1, 2, 0, 9, 8, 6, 5)",--,--,G280
G294,10n26,-13,-2,"(0, 9, 7, 5, 4, 2, 3, 1, 8, 6)","(3, 1, 0, 9, 6, 5, 8, 7, 4, 2)",--,--,G286
G295,10n26,-13,-2,"(0, 8, 7, 3, 6, 2, 5, 4, 1, 9)","(4, 2, 1, 8, 9, 7, 0, 6, 5, 3)",--,--,G284
G296,10n26,-13,-2,"(0, 9, 7, 8, 6, 5, 3, 4, 2, 1)","(8, 2, 1, 4, 0, 7, 6, 9, 5, 3)",--,--,G283
G297,10n26,-13,-2,"(0, 6, 9, 8, 4, 3, 5, 2, 7, 1)","(3, 1, 2, 0, 9, 7, 8, 6, 4, 5)",--,--,G298
